title,content,topic,sentiment
"กรมอุตุนิยมวิทยาคาดการณ์อากาศเย็นลงในสัปดาห์หน้า","กรมอุตุนิยมวิทยาคาดการณ์ว่าอุณหภูมิจะลดลง 2-4 องศาเซลเซียสในสัปดาห์หน้า จากมวลอากาศเย็นที่แผ่ลงมาปกคลุม ประชาชนควรเตรียมเครื่องนุ่งห่มให้พร้อม",other,neutral
"ประกาศผลรางวัลสลากกินแบ่งรัฐบาลงวดล่าสุด","สำนักงานสลากกินแบ่งรัฐบาลประกาศผลการออกรางวัลงวดล่าสุด โดยผู้ถูกรางวัลที่หนึ่งสามารถติดต่อขอรับเงินรางวัลได้ตามขั้นตอนที่กำหนดภายในระยะเวลาที่ระบุ",other,neutral
"เปิดจองคิวทำหนังสือเดินทางล่วงหน้าออนไลน์","กรมการกงสุลเปิดให้ประชาชนจองคิวทำหนังสือเดินทางล่วงหน้าผ่านระบบออนไลน์ทุกสำนักงาน ช่วยลดเวลารอคอยและทำให้วางแผนการเดินทางได้สะดวกขึ้น",other,positive
"แมวจรจัดในตลาดกลายเป็นขวัญใจผู้ค้า","แมวจรจัดตัวหนึ่งที่อาศัยอยู่ในตลาดสดกลายเป็นขวัญใจของผู้ค้าและลูกค้า มีผู้ช่วยกันดูแลอาหารและนำไปทำหมัน จนกลายเป็นสัญลักษณ์ประจำตลาด",other,positive
"เตือนการจราจรติดขัดช่วงวันหยุดยาว","ตำรวจทางหลวงคาดการณ์ว่าการจราจรบนถนนสายหลักจะติดขัดในช่วงวันหยุดยาว จึงแนะให้ผู้เดินทางออกเดินทางก่อนเวลาหรือเลือกใช้เส้นทางเลี่ยงที่ประกาศไว้",other,neutral
"พบต้นไม้ใหญ่อายุกว่า 200 ปีในพื้นที่ชุมชน","นักพฤกษศาสตร์สำรวจพบต้นไม้ใหญ่อายุประมาณ 200 ปีในพื้นที่ชุมชน จึงเสนอให้ขึ้นทะเบียนเป็นต้นไม้อนุรักษ์ ชาวบ้านร่วมกันดูแลและจัดพื้นที่รอบต้นไม้ให้เป็นที่พักผ่อน",other,positive
"ปรับปรุงเวลาทำการของสำนักงานราชการ","หน่วยงานประกาศปรับเวลาทำการของสำนักงานให้เหลื่อมกัน เพื่อลดความแออัดในช่วงเช้าและรองรับประชาชนที่ต้องการมาติดต่อหลังเลิกงาน โดยจะเริ่มใช้เดือนหน้า",other,neutral
"ชายวัย 70 ปีจบปริญญาตรีสำเร็จ","ชายวัย 70 ปีสำเร็จการศึกษาระดับปริญญาตรีจากมหาวิทยาลัยเปิด หลังใช้เวลาเรียนควบคู่การทำงานเป็นเวลาหกปี เจ้าตัวระบุว่าอยากเป็นแรงบันดาลใจให้ลูกหลาน",other,positive
"ประกาศเปลี่ยนแปลงเส้นทางเดินรถประจำทาง","ผู้ให้บริการเดินรถประกาศปรับเส้นทางรถประจำทางสองสาย เพื่อให้ครอบคลุมย่านที่อยู่อาศัยใหม่ โดยผู้โดยสารสามารถตรวจสอบเส้นทางและป้ายหยุดใหม่ได้ทางแอปพลิเคชัน",other,neutral
"หมาจรจัดช่วยเห่าเตือนไฟไหม้บ้าน","สุนัขจรจัดที่ชาวบ้านให้อาหารเป็นประจำเห่าเตือนจนเจ้าของบ้านตื่นและพบว่าเกิดเพลิงไหม้ในครัว ทำให้ดับไฟได้ทันก่อนลุกลาม ชาวบ้านรับสุนัขไปเลี้ยงดูอย่างดี",other,positive
"ประกาศงดจ่ายน้ำประปาชั่วคราวเพื่อซ่อมท่อ","การประปาแจ้งงดจ่ายน้ำชั่วคราวในบางพื้นที่เพื่อซ่อมท่อประธาน โดยจะดำเนินการในช่วงกลางคืนและคาดว่าจะจ่ายน้ำได้ตามปกติในเช้าวันรุ่งขึ้น",other,neutral
"พบวัตถุโบราณระหว่างขุดปรับพื้นที่","คนงานพบวัตถุโบราณระหว่างขุดปรับพื้นที่ก่อสร้าง จึงแจ้งกรมศิลปากรเข้าตรวจสอบและระงับการก่อสร้างชั่วคราว เบื้องต้นคาดว่ามีอายุหลายร้อยปี",other,neutral
"ปฏิทินวันหยุดราชการปีหน้าประกาศแล้ว","คณะรัฐมนตรีเห็นชอบปฏิทินวันหยุดราชการประจำปีหน้า โดยมีวันหยุดต่อเนื่องหลายช่วง ซึ่งภาคการท่องเที่ยวคาดว่าจะช่วยกระตุ้นการเดินทางในประเทศ",other,neutral
"ชาวบ้านคืนกระเป๋าเงินที่เก็บได้ให้เจ้าของ","ชาวบ้านเก็บกระเป๋าเงินที่มีเงินสดและเอกสารสำคัญได้ริมถนน จึงนำไปมอบให้เจ้าหน้าที่เพื่อติดตามหาเจ้าของ ซึ่งได้รับคืนครบถ้วนและมาขอบคุณด้วยตนเอง",other,positive
"เตือนระวังพายุฤดูร้อนในช่วงบ่ายถึงค่ำ","กรมอุตุนิยมวิทยาเตือนให้ระวังพายุฤดูร้อนที่อาจเกิดในช่วงบ่ายถึงค่ำ โดยจะมีฝนฟ้าคะนองและลมกระโชกแรง ขอให้หลีกเลี่ยงการอยู่ในที่โล่งและใต้ต้นไม้ใหญ่",other,neutral
"เปิดให้บริการห้องน้ำสาธารณะปรับปรุงใหม่","เทศบาลปรับปรุงห้องน้ำสาธารณะในสวนสาธารณะและตลาดให้สะอาดและรองรับผู้พิการ ผู้ใช้บริการระบุว่าสภาพดีขึ้นกว่าเดิมอย่างเห็นได้ชัด",other,positive
"ประกาศรับสมัครสอบเข้ารับราชการหลายตำแหน่ง","สำนักงานคณะกรรมการข้าราชการพลเรือนประกาศรับสมัครสอบแข่งขันเพื่อบรรจุเข้ารับราชการหลายตำแหน่ง โดยเปิดรับสมัครทางอินเทอร์เน็ตตามกำหนดการที่ประกาศ",other,neutral
"ครอบครัวพบกันอีกครั้งหลังพลัดพรากกว่า 20 ปี","ครอบครัวหนึ่งได้พบกันอีกครั้งหลังพลัดพรากกันมากว่า 20 ปี โดยมีผู้ช่วยตามหาผ่านสื่อสังคมออนไลน์ ทั้งสองฝ่ายกล่าวขอบคุณผู้ที่ช่วยประสานให้ได้พบกัน",other,positive
"ปิดปรับปรุงสวนสาธารณะบางส่วนเป็นเวลาหนึ่งเดือน","เทศบาลแจ้งปิดปรับปรุงพื้นที่บางส่วนของสวนสาธารณะเป็นเวลาหนึ่งเดือน เพื่อเปลี่ยนพื้นทางเดินและปรับปรุงระบบรดน้ำ โดยส่วนอื่นยังเปิดให้ใช้ตามปกติ",other,neutral
"นักเรียนเก็บเงินได้แล้วนำไปคืนที่โรงเรียน","นักเรียนชั้นประถมเก็บเงินได้ในบริเวณโรงเรียนและนำไปมอบให้ครูเพื่อประกาศหาเจ้าของ ทางโรงเรียนชื่นชมและมอบเกียรติบัตรเพื่อเป็นแบบอย่างให้เพื่อนนักเรียน",other,positive
"ประกาศเตือนคลื่นความร้อนต่อเนื่องหลายวัน","หน่วยงานพยากรณ์อากาศแจ้งว่าอุณหภูมิจะสูงต่อเนื่องหลายวัน โดยบางพื้นที่อาจแตะ 40 องศาเซลเซียส ขอให้ประชาชนดื่มน้ำมากขึ้นและเลี่ยงกิจกรรมกลางแจ้งช่วงเที่ยง",other,neutral
"ตลาดนัดกลางคืนแห่งใหม่เปิดให้บริการ","ตลาดนัดกลางคืนแห่งใหม่เปิดให้บริการในย่านชุมชน มีร้านค้ากว่า 200 ร้านและลานกิจกรรม ผู้ค้าระบุว่ายอดขายในสัปดาห์แรกดีกว่าที่คาดไว้",other,positive
"ปรับปรุงสะพานลอยคนเดินข้ามให้ปลอดภัยขึ้น","หน่วยงานปรับปรุงสะพานลอยคนเดินข้ามหลายจุด โดยเปลี่ยนพื้นกันลื่นและเพิ่มไฟส่องสว่าง ผู้ใช้ทางเดินระบุว่ารู้สึกปลอดภัยขึ้นเมื่อใช้ในเวลากลางคืน",other,positive
"ประกาศผลการคัดเลือกผู้ได้รับรางวัลพลเมืองดี","หน่วยงานประกาศผลการคัดเลือกผู้ได้รับรางวัลพลเมืองดีประจำปี โดยพิจารณาจากการช่วยเหลือผู้อื่นและการทำประโยชน์ต่อชุมชนอย่างต่อเนื่อง",other,positive
"เตือนหมอกหนาในช่วงเช้าบนเส้นทางภูเขา","หน่วยงานเตือนผู้ขับขี่บนเส้นทางภูเขาระวังหมอกหนาในช่วงเช้าซึ่งทำให้มองเห็นได้จำกัด แนะให้เปิดไฟหน้าและเว้นระยะห่างจากรถคันหน้าให้มากขึ้น",other,neutral
"ผู้สูงอายุเรียนใช้แอปเรียกรถได้ด้วยตัวเอง","กลุ่มผู้สูงอายุที่เข้าอบรมการใช้เทคโนโลยีสามารถเรียกรถผ่านแอปได้ด้วยตัวเอง ทำให้เดินทางไปโรงพยาบาลและตลาดได้สะดวกขึ้นโดยไม่ต้องรอลูกหลาน",other,positive
"ปรับค่าธรรมเนียมบริการบางรายการของหน่วยงาน","หน่วยงานประกาศปรับค่าธรรมเนียมบริการบางรายการตามต้นทุนที่เปลี่ยนแปลง โดยจะมีผลในไตรมาสหน้า และเผยแพร่ตารางอัตราใหม่บนเว็บไซต์ให้ตรวจสอบได้",other,neutral
