title,content,topic,sentiment
"ตำรวจจับกุมผู้ต้องหาคดีลักทรัพย์ หลังติดตามจากกล้องวงจรปิด","เจ้าหน้าที่ตำรวจจับกุมผู้ต้องหาคดีลักทรัพย์ในบ้านพักได้ที่ห้องเช่าย่านชานเมือง หลังตรวจสอบภาพจากกล้องวงจรปิดและติดตามเส้นทางหลบหนี ผู้ต้องหาให้การรับสารภาพและนำของกลางมาคืนเจ้าทรัพย์",crime,positive
"บุกจับแหล่งผลิตยาเสพติดกลางเมือง ยึดของกลางมูลค่าหลายล้าน","ชุดปฏิบัติการปราบปรามยาเสพติดบุกค้นบ้านต้องสงสัยและพบอุปกรณ์ผลิตยาเสพติดพร้อมของกลางมูลค่ากว่า 8 ล้านบาท จับกุมผู้ต้องหาได้ 4 ราย ขยายผลไปถึงเครือข่ายผู้จำหน่ายในหลายจังหวัด",crime,positive
"คนร้ายงัดร้านทองชิงทรัพย์ หนีไปได้","คนร้าย 2 คนงัดร้านทองในตลาดช่วงกลางดึกและชิงทองรูปพรรณไปหลายรายการ ก่อนหลบหนีด้วยรถจักรยานยนต์ เจ้าหน้าที่กำลังตรวจสอบภาพวงจรปิดเพื่อติดตามตัว",crime,negative
"หลอกลวงออนไลน์ระบาด เสียหายรวมกว่า 30 ล้านบาท","ตำรวจไซเบอร์เผยสถิติคดีหลอกลวงทางออนไลน์ในรอบเดือนเพิ่มขึ้นอย่างมาก มีผู้เสียหายรวมความเสียหายกว่า 30 ล้านบาท ส่วนใหญ่เป็นการหลอกให้ลงทุนและหลอกให้โอนเงินค่ามัดจำสินค้า",crime,negative
"จับแก๊งคอลเซ็นเตอร์ข้ามชาติ ยึดอุปกรณ์สื่อสารจำนวนมาก","เจ้าหน้าที่ร่วมกับหน่วยงานต่างประเทศบุกทลายแก๊งคอลเซ็นเตอร์ที่ตั้งฐานอยู่บริเวณชายแดน จับกุมผู้ต้องหาได้ 23 ราย พร้อมยึดคอมพิวเตอร์และซิมการ์ดจำนวนมากเป็นของกลาง",crime,positive
"ชายก่อเหตุทำร้ายร่างกายในผับ ตำรวจควบคุมตัวได้","เกิดเหตุทะเลาะวิวาทในสถานบันเทิงจนมีผู้ได้รับบาดเจ็บ 2 ราย เจ้าหน้าที่เข้าระงับเหตุและควบคุมตัวผู้ก่อเหตุได้ทันที ผู้บาดเจ็บถูกนำส่งโรงพยาบาลและอาการไม่รุนแรง",crime,negative
"ตำรวจตามจับผู้ต้องหาคดีฉ้อโกงหลังหลบหนี 3 ปี","ผู้ต้องหาคดีฉ้อโกงประชาชนที่หลบหนีหมายจับมากว่า 3 ปี ถูกจับกุมได้ขณะกำลังเดินทางออกนอกประเทศ เจ้าหน้าที่ระบุว่ามีผู้เสียหายในคดีนี้มากกว่า 60 ราย",crime,positive
"ลักรถจักรยานยนต์หน้าหอพัก คนร้ายใช้เวลาไม่ถึงนาที","คนร้ายลักรถจักรยานยนต์ที่จอดอยู่หน้าหอพักโดยใช้เวลาไม่ถึงหนึ่งนาที ภาพจากกล้องวงจรปิดแสดงให้เห็นการใช้อุปกรณ์สะเดาะกุญแจ เจ้าหน้าที่แนะนำให้ผู้พักอาศัยใช้ล็อกเสริม",crime,negative
"ยึดสินค้าละเมิดลิขสิทธิ์กลางตลาดนัด มูลค่าเกือบล้าน","เจ้าหน้าที่เข้าตรวจค้นแผงค้าในตลาดนัดและยึดสินค้าละเมิดลิขสิทธิ์มูลค่าเกือบหนึ่งล้านบาท ผู้ค้าถูกดำเนินคดีตามกฎหมาย เจ้าหน้าที่ระบุว่าจะขยายการตรวจสอบไปยังแหล่งกระจายสินค้า",crime,neutral
"หญิงถูกล้วงกระเป๋าบนรถโดยสาร สูญเงินหลายพัน","ผู้เสียหายแจ้งความว่าถูกล้วงกระเป๋าขณะโดยสารรถประจำทางในช่วงเวลาเร่งด่วน สูญเงินสดและบัตรประจำตัว ตำรวจเตือนให้ระวังทรัพย์สินในที่แออัดและเก็บกระเป๋าไว้ด้านหน้าลำตัว",crime,negative
"ปราบปรามการพนันออนไลน์ จับผู้เกี่ยวข้อง 12 ราย","เจ้าหน้าที่บุกค้นเป้าหมาย 5 จุดในคดีเว็บพนันออนไลน์ จับกุมผู้เกี่ยวข้องได้ 12 ราย พร้อมอายัดบัญชีธนาคารที่ใช้หมุนเวียนเงินกว่า 40 บัญชี",crime,positive
"คดีปล้นร้านสะดวกซื้อ พนักงานปลอดภัย","คนร้ายก่อเหตุปล้นร้านสะดวกซื้อในช่วงกลางคืนและหลบหนีไปพร้อมเงินสดจำนวนหนึ่ง พนักงานไม่ได้รับบาดเจ็บ เจ้าหน้าที่กำลังติดตามจากภาพวงจรปิดและเส้นทางหลบหนี",crime,negative
"ศาลตัดสินจำคุกผู้กระทำผิดคดีทำร้ายร่างกาย","ศาลมีคำพิพากษาจำคุกผู้กระทำผิดในคดีทำร้ายร่างกายผู้อื่นจนได้รับบาดเจ็บสาหัส โดยไม่รอลงอาญา ผู้เสียหายและครอบครัวแสดงความพอใจต่อคำตัดสิน",crime,neutral
"ตำรวจคืนทรัพย์สินให้ผู้เสียหายกว่า 100 ราย","เจ้าหน้าที่จัดพิธีมอบคืนทรัพย์สินที่ยึดได้จากขบวนการลักทรัพย์ให้ผู้เสียหายกว่า 100 ราย รวมมูลค่าหลายล้านบาท ผู้เสียหายหลายรายไม่คาดคิดว่าจะได้ทรัพย์สินคืน",crime,positive
"เตือนภัยมิจฉาชีพปลอมเป็นเจ้าหน้าที่รัฐ","หน่วยงานเตือนประชาชนระวังมิจฉาชีพที่แอบอ้างเป็นเจ้าหน้าที่รัฐโทรศัพท์ข่มขู่เรื่องคดีความและให้โอนเงิน ย้ำว่าหน่วยงานราชการไม่มีนโยบายเรียกเก็บเงินทางโทรศัพท์",crime,neutral
"จับกุมผู้ค้าอาวุธเถื่อนผ่านสื่อสังคมออนไลน์","เจ้าหน้าที่สืบสวนพบการซื้อขายอาวุธปืนเถื่อนผ่านกลุ่มปิดในสื่อสังคมออนไลน์ จับกุมผู้ต้องหาได้ 3 ราย พร้อมยึดอาวุธปืนและเครื่องกระสุนจำนวนมาก",crime,positive
"คนร้ายวางเพลิงรถยนต์หน้าบ้าน เจ้าของทรัพย์เสียหาย","เกิดเหตุคนร้ายวางเพลิงรถยนต์ที่จอดอยู่หน้าบ้านพักในช่วงกลางดึก ทำให้รถได้รับความเสียหายทั้งคัน ตำรวจสันนิษฐานว่าอาจเกี่ยวข้องกับความขัดแย้งส่วนตัว",crime,negative
"ผู้ต้องหาคดียาเสพติดเข้ามอบตัว หลังเจรจากับครอบครัว","ผู้ต้องหาตามหมายจับคดียาเสพติดเดินทางเข้ามอบตัวกับเจ้าหน้าที่ หลังครอบครัวช่วยเจรจาเกลี้ยกล่อม เจ้าหน้าที่ระบุว่าการมอบตัวจะเป็นผลดีต่อรูปคดี",crime,neutral
"สถิติอาชญากรรมในเขตเมืองลดลงต่อเนื่อง 2 ปี","หน่วยงานตำรวจรายงานว่าสถิติคดีอาชญากรรมในเขตเมืองลดลงต่อเนื่องเป็นปีที่สอง โดยเฉพาะคดีลักทรัพย์และคดีชิงทรัพย์ ผลจากการเพิ่มกล้องวงจรปิดและสายตรวจในชุมชน",crime,positive
"หลอกขายสินค้าออนไลน์ไม่ส่งของ ผู้เสียหายรวมตัวแจ้งความ","ผู้เสียหายกว่า 80 รายรวมตัวเข้าแจ้งความคดีหลอกขายสินค้าออนไลน์แล้วไม่ส่งของ มูลค่าความเสียหายรวมกว่า 2 ล้านบาท เจ้าหน้าที่กำลังตรวจสอบเส้นทางการเงิน",crime,negative
"ตำรวจจับผู้ต้องหาคดีข่มขู่รีดไถผู้ประกอบการ","เจ้าหน้าที่จับกุมกลุ่มผู้ต้องหาที่ข่มขู่เรียกเก็บเงินจากผู้ประกอบการร้านค้าในพื้นที่ ผู้เสียหายหลายรายกล้าเข้าให้ปากคำหลังได้รับการคุ้มครองความปลอดภัย",crime,positive
