title,content,topic,sentiment
"ฝนตกหนักทำให้เกิดน้ำท่วมหลายพื้นที่","ฝนที่ตกหนักต่อเนื่องทำให้เกิดน้ำท่วมขังในหลายพื้นที่ ระดับน้ำสูงกว่า 50 เซนติเมตรในบางจุด ประชาชนได้รับความเดือดร้อนและต้องขนย้ายสิ่งของขึ้นที่สูง",disaster,negative
"เตือนพื้นที่เสี่ยงน้ำป่าไหลหลากและดินสไลด์","กรมอุตุนิยมวิทยาเตือนประชาชนในพื้นที่ลาดเชิงเขาเฝ้าระวังน้ำป่าไหลหลากและดินสไลด์ในช่วง 48 ชั่วโมงข้างหน้า และให้เตรียมพร้อมอพยพหากได้รับแจ้งเตือน",disaster,neutral
"พายุพัดบ้านเรือนเสียหายกว่า 200 หลัง","พายุฤดูร้อนพัดถล่มพื้นที่ ทำให้บ้านเรือนได้รับความเสียหายกว่า 200 หลัง หลังคาปลิวและต้นไม้ล้มทับสายไฟ เจ้าหน้าที่เร่งสำรวจความเสียหายเพื่อช่วยเหลือ",disaster,negative
"อพยพประชาชนออกจากพื้นที่เสี่ยงได้ทันเวลา","เจ้าหน้าที่อพยพประชาชนกว่า 800 คนออกจากพื้นที่เสี่ยงน้ำป่าได้ทันเวลาก่อนมวลน้ำมาถึง ทำให้ไม่มีผู้เสียชีวิต ศูนย์พักพิงรองรับผู้อพยพได้ครบทุกครัวเรือน",disaster,positive
"ระดับน้ำในเขื่อนลดลงต่ำกว่าเกณฑ์ เสี่ยงภัยแล้ง","กรมชลประทานรายงานว่าระดับน้ำในเขื่อนหลายแห่งลดลงต่ำกว่าเกณฑ์ปกติ จึงขอความร่วมมือเกษตรกรงดทำนาปรังในบางพื้นที่และวางแผนใช้น้ำอย่างประหยัด",disaster,negative
"ไฟป่าลุกลามในพื้นที่อุทยาน เจ้าหน้าที่เร่งควบคุม","เกิดไฟป่าลุกลามในพื้นที่อุทยานแห่งชาติกว่า 300 ไร่ เจ้าหน้าที่และอาสาสมัครระดมกำลังเข้าควบคุมเพลิง โดยใช้เฮลิคอปเตอร์โปรยน้ำในจุดที่เข้าถึงยาก",disaster,negative
"แผ่นดินไหวขนาด 4.2 รับรู้แรงสั่นสะเทือนหลายอำเภอ","เกิดแผ่นดินไหวขนาด 4.2 โดยประชาชนในหลายอำเภอรับรู้แรงสั่นสะเทือน ยังไม่มีรายงานความเสียหายต่อโครงสร้างอาคาร หน่วยงานเฝ้าติดตามอาฟเตอร์ช็อก",disaster,neutral
"น้ำท่วมคลี่คลาย ประชาชนเริ่มกลับเข้าบ้าน","สถานการณ์น้ำท่วมในพื้นที่คลี่คลายลงหลังระดับน้ำลดต่อเนื่อง ประชาชนเริ่มกลับเข้าบ้านและทำความสะอาด หน่วยงานส่งทีมสุขาภิบาลเข้าช่วยฉีดพ่นยาฆ่าเชื้อ",disaster,positive
"ศูนย์พักพิงรองรับผู้อพยพไม่เพียงพอ","ผู้อพยพจากพื้นที่น้ำท่วมมีจำนวนมากกว่าที่ศูนย์พักพิงรองรับได้ ทำให้ต้องเปิดพื้นที่เพิ่มในโรงเรียนและวัด ขณะที่เครื่องนอนและน้ำดื่มยังขาดแคลน",disaster,negative
"ระบบเตือนภัยล่วงหน้าช่วยลดความเสียหาย","หน่วยงานระบุว่าระบบเตือนภัยล่วงหน้าที่ติดตั้งใหม่ช่วยให้ประชาชนเตรียมตัวได้ก่อนน้ำมาถึงราว 6 ชั่วโมง ทำให้ความเสียหายต่อทรัพย์สินลดลงอย่างชัดเจน",disaster,positive
