title,content,topic,sentiment
"สภาผ่านร่างกฎหมายงบประมาณวาระแรก ด้วยเสียงข้างมาก","ที่ประชุมสภาลงมติรับหลักการร่างพระราชบัญญัติงบประมาณรายจ่ายประจำปีในวาระแรกด้วยเสียงข้างมาก และตั้งคณะกรรมาธิการวิสามัญเพื่อพิจารณารายละเอียดต่อไป",politics,neutral
"ฝ่ายค้านยื่นอภิปรายไม่ไว้วางใจรัฐมนตรี 3 คน","พรรคฝ่ายค้านยื่นญัตติขออภิปรายไม่ไว้วางใจรัฐมนตรีจำนวน 3 คน โดยระบุประเด็นการบริหารงานที่ขาดประสิทธิภาพ ประธานสภานัดวันอภิปรายในสัปดาห์หน้า",politics,negative
"รัฐบาลแถลงนโยบายเร่งด่วน เน้นแก้ปัญหาค่าครองชีพ","รัฐบาลแถลงนโยบายเร่งด่วนต่อที่ประชุมสภา โดยให้ความสำคัญกับการลดภาระค่าครองชีพและการกระตุ้นเศรษฐกิจฐานราก พร้อมกำหนดกรอบเวลาการดำเนินงานภายในหกเดือน",politics,neutral
"ประชาชนรวมตัวชุมนุมเรียกร้องแก้กฎหมายเลือกตั้ง","กลุ่มประชาชนรวมตัวชุมนุมบริเวณหน้าอาคารรัฐสภาเพื่อเรียกร้องให้แก้ไขกฎหมายเลือกตั้ง การชุมนุมเป็นไปด้วยความสงบและเจ้าหน้าที่ดูแลความปลอดภัยตามปกติ",politics,neutral
"ผลสำรวจชี้คะแนนนิยมรัฐบาลลดลงต่อเนื่อง","สำนักวิจัยเผยผลสำรวจความคิดเห็นพบว่าคะแนนความนิยมของรัฐบาลลดลงต่อเนื่องเป็นไตรมาสที่สาม โดยผู้ตอบส่วนใหญ่ระบุเหตุผลเรื่องปัญหาเศรษฐกิจและราคาสินค้า",politics,negative
"คณะกรรมการเลือกตั้งประกาศวันเลือกตั้งท้องถิ่น","คณะกรรมการการเลือกตั้งประกาศกำหนดวันเลือกตั้งสมาชิกสภาท้องถิ่นและผู้บริหารท้องถิ่น พร้อมเปิดรับสมัครผู้ประสงค์ลงรับเลือกตั้งตามกรอบเวลาที่กำหนด",politics,neutral
"สองพรรคบรรลุข้อตกลงร่วมรัฐบาล เดินหน้านโยบายร่วม","ตัวแทนสองพรรคการเมืองแถลงร่วมกันว่าบรรลุข้อตกลงในการร่วมจัดตั้งรัฐบาล พร้อมเปิดเผยกรอบนโยบายที่จะผลักดันร่วมกัน นักวิเคราะห์มองว่าช่วยลดความไม่แน่นอนทางการเมือง",politics,positive
"ร่างกฎหมายกระจายอำนาจผ่านวาระสุดท้าย","ที่ประชุมสภาเห็นชอบร่างกฎหมายกระจายอำนาจให้องค์กรปกครองส่วนท้องถิ่นในวาระสุดท้าย ซึ่งจะเพิ่มอำนาจการบริหารงบประมาณของท้องถิ่น หลายฝ่ายมองว่าเป็นก้าวสำคัญ",politics,positive
"เกิดความขัดแย้งในพรรคร่วม หลังไม่ลงตัวเรื่องตำแหน่ง","ปรากฏความขัดแย้งภายในพรรคร่วมรัฐบาลหลังการจัดสรรตำแหน่งไม่เป็นที่พอใจของบางกลุ่ม แกนนำพรรคยืนยันว่าจะหาข้อยุติภายในและไม่กระทบเสถียรภาพรัฐบาล",politics,negative
"นายกรัฐมนตรีลงพื้นที่ติดตามโครงการน้ำ","นายกรัฐมนตรีลงพื้นที่ตรวจติดตามความคืบหน้าโครงการบริหารจัดการน้ำในภาคตะวันออกเฉียงเหนือ และรับฟังข้อเสนอจากตัวแทนเกษตรกรในพื้นที่",politics,neutral
