title,content,topic,sentiment
"การเจรจาการค้าระหว่างสองประเทศคืบหน้า","ตัวแทนการค้าของสองประเทศแถลงว่าการเจรจาความตกลงการค้าเสรีมีความคืบหน้าในหลายหมวดสินค้า และคาดว่าจะสรุปผลได้ภายในปีนี้ ภาคเอกชนแสดงความยินดี",international,positive
"สหประชาชาติเรียกร้องให้ยุติการสู้รบ","ที่ประชุมคณะมนตรีความมั่นคงแห่งสหประชาชาติออกแถลงการณ์เรียกร้องให้ทุกฝ่ายยุติการสู้รบและเปิดทางให้ความช่วยเหลือด้านมนุษยธรรมเข้าถึงพลเรือน",international,neutral
"ผู้อพยพเพิ่มขึ้นบริเวณชายแดน","หน่วยงานระหว่างประเทศรายงานว่าจำนวนผู้อพยพบริเวณชายแดนเพิ่มขึ้นจากสถานการณ์ความไม่สงบ ทำให้ศูนย์พักพิงแออัดและขาดแคลนน้ำสะอาดกับยา",international,negative
"ไทยลงนามความร่วมมือด้านพลังงานกับประเทศเพื่อนบ้าน","รัฐบาลไทยลงนามบันทึกความเข้าใจด้านพลังงานสะอาดกับประเทศเพื่อนบ้าน ครอบคลุมการเชื่อมโยงระบบสายส่งและการลงทุนในโครงการพลังงานหมุนเวียนร่วมกัน",international,positive
"อาเซียนหารือแนวทางรับมือภัยพิบัติร่วมกัน","ที่ประชุมรัฐมนตรีอาเซียนหารือแนวทางความร่วมมือรับมือภัยพิบัติในภูมิภาค ทั้งการแบ่งปันข้อมูลเตือนภัยและการจัดตั้งคลังสิ่งของช่วยเหลือส่วนกลาง",international,positive
"ความตึงเครียดทางการค้าส่งผลต่อตลาดโลก","ความตึงเครียดทางการค้าระหว่างประเทศเศรษฐกิจขนาดใหญ่ส่งผลให้ตลาดหุ้นทั่วโลกผันผวน นักวิเคราะห์เตือนว่าห่วงโซ่อุปทานอาจได้รับผลกระทบในระยะกลาง",international,negative
"ประเทศเพื่อนบ้านเปิดพรมแดนอำนวยความสะดวกการเดินทาง","ประเทศเพื่อนบ้านประกาศผ่อนคลายมาตรการข้ามแดนและขยายเวลาทำการของจุดผ่านแดน ทำให้การเดินทางและการค้าชายแดนสะดวกขึ้นอย่างชัดเจน",international,positive
"เกิดเหตุแผ่นดินไหวรุนแรงในต่างประเทศ","เกิดแผ่นดินไหวรุนแรงในต่างประเทศ ทำให้มีผู้เสียชีวิตและบาดเจ็บจำนวนมาก หลายประเทศรวมถึงไทยส่งทีมกู้ภัยและสิ่งของช่วยเหลือเข้าไปสนับสนุน",international,negative
"ไทยส่งทีมแพทย์ช่วยเหลือผู้ประสบภัยต่างประเทศ","รัฐบาลไทยส่งทีมแพทย์และเวชภัณฑ์ไปช่วยเหลือผู้ประสบภัยในต่างประเทศ ทีมงานระบุว่าจะปฏิบัติงานร่วมกับหน่วยงานท้องถิ่นเป็นเวลาสองสัปดาห์",international,positive
"การประชุมสภาพภูมิอากาศบรรลุข้อตกลงบางส่วน","การประชุมระหว่างประเทศด้านสภาพภูมิอากาศบรรลุข้อตกลงในบางประเด็น โดยเฉพาะกองทุนช่วยเหลือประเทศที่ได้รับผลกระทบ แต่ยังไม่มีข้อผูกพันเรื่องเป้าลดการปล่อยที่ชัดเจน",international,neutral
