title,content,topic,sentiment
"ค่าฝุ่นพีเอ็มเกินมาตรฐานต่อเนื่องหลายวัน","ค่าฝุ่นละอองขนาดเล็กในหลายพื้นที่เกินมาตรฐานต่อเนื่องเป็นวันที่ห้า สาเหตุหลักมาจากการเผาในที่โล่งและสภาพอากาศปิด หน่วยงานแนะให้ลดกิจกรรมกลางแจ้ง",environment,negative
"โครงการปลูกป่าชุมชนเพิ่มพื้นที่สีเขียว 500 ไร่","ชุมชนร่วมกับหน่วยงานปลูกป่าเพิ่มพื้นที่สีเขียวได้กว่า 500 ไร่ในหนึ่งปี พร้อมตั้งกลุ่มดูแลต้นไม้ที่ปลูก ทำให้อัตราการรอดของต้นกล้าสูงกว่าโครงการก่อนหน้า",environment,positive
"พบการปล่อยน้ำเสียลงคลองสาธารณะ","เจ้าหน้าที่ตรวจพบโรงงานปล่อยน้ำเสียที่ไม่ผ่านการบำบัดลงคลองสาธารณะ จึงสั่งหยุดการปล่อยและดำเนินคดี พร้อมให้ปรับปรุงระบบบำบัดภายในกำหนด",environment,negative
"ชายหาดฟื้นตัวหลังปิดให้ธรรมชาติพักฟื้น","หลังปิดชายหาดให้ธรรมชาติฟื้นตัวเป็นเวลาหนึ่งปี นักวิชาการพบว่าปะการังและสัตว์น้ำกลับมาเพิ่มขึ้นอย่างชัดเจน หน่วยงานเตรียมกำหนดจำนวนนักท่องเที่ยวต่อวัน",environment,positive
"ปริมาณขยะพลาสติกในทะเลยังน่ากังวล","ผลสำรวจขยะทะเลพบว่าปริมาณขยะพลาสติกยังอยู่ในระดับน่ากังวล โดยส่วนใหญ่เป็นถุงและขวดที่ไหลมาจากแม่น้ำ องค์กรอนุรักษ์เรียกร้องให้จัดการที่ต้นทาง",environment,negative
"เทศบาลเริ่มระบบแยกขยะที่ต้นทางทั่วเขต","เทศบาลเริ่มใช้ระบบแยกขยะที่ต้นทางครอบคลุมทั้งเขต โดยแจกถังแยกประเภทและปรับตารางเก็บ ผลสามเดือนแรกพบขยะที่ส่งไปฝังกลบลดลงกว่าร้อยละ 30",environment,positive
"พบสัตว์ป่าหากินใกล้ชุมชนมากขึ้น","เจ้าหน้าที่อุทยานรายงานว่าพบสัตว์ป่าออกหากินใกล้ชุมชนมากขึ้น ซึ่งอาจเกิดจากแหล่งอาหารในป่าลดลง จึงเร่งฟื้นฟูแหล่งน้ำและอาหารในพื้นที่ป่า",environment,neutral
"โรงงานลงทุนระบบลดการปล่อยคาร์บอน","โรงงานอุตสาหกรรมลงทุนปรับปรุงกระบวนการผลิตเพื่อลดการปล่อยก๊าซคาร์บอนไดออกไซด์ลงร้อยละ 25 ภายในสามปี โดยเปลี่ยนมาใช้พลังงานสะอาดบางส่วน",environment,positive
"การบุกรุกพื้นที่ป่าเพิ่มขึ้นในบางจังหวัด","ภาพถ่ายดาวเทียมแสดงให้เห็นการบุกรุกพื้นที่ป่าเพิ่มขึ้นในบางจังหวัด หน่วยงานเข้าตรวจสอบและดำเนินคดีผู้กระทำผิด พร้อมวางแผนฟื้นฟูพื้นที่ที่ถูกบุกรุก",environment,negative
"ติดตั้งแผงโซลาร์บนหลังคาอาคารราชการ","หน่วยงานติดตั้งแผงเซลล์แสงอาทิตย์บนหลังคาอาคารราชการหลายแห่ง ช่วยลดค่าไฟฟ้าและลดการปล่อยก๊าซเรือนกระจก โดยคืนทุนได้ภายในเจ็ดปีตามการประเมิน",environment,positive
