title,content,topic,sentiment
"ตลาดหุ้นไทยปรับตัวเพิ่มขึ้นหลังนักลงทุนคลายกังวล","ดัชนีตลาดหลักทรัพย์ไทยปิดบวกต่อเนื่องเป็นวันที่สาม หลังนักลงทุนคลายความกังวลเรื่องทิศทางดอกเบี้ย มูลค่าการซื้อขายเพิ่มขึ้นจากวันก่อนหน้าอย่างชัดเจน",economy,positive
"เงินเฟ้อเดือนล่าสุดชะลอตัวลงเหลือร้อยละ 1.2","สำนักงานนโยบายและยุทธศาสตร์การค้ารายงานอัตราเงินเฟ้อทั่วไปชะลอตัวลงเหลือร้อยละ 1.2 จากราคาพลังงานที่ลดลง นักเศรษฐศาสตร์มองว่าเป็นสัญญาณที่ดีต่อกำลังซื้อของครัวเรือน",economy,positive
"ค่าครองชีพพุ่ง ประชาชนสะท้อนรายได้ไม่พอรายจ่าย","ผลสำรวจพบว่าประชาชนส่วนใหญ่ระบุว่ารายได้ไม่เพียงพอกับค่าใช้จ่ายที่เพิ่มขึ้น โดยเฉพาะค่าอาหารสดและค่าเดินทาง หลายครัวเรือนต้องลดค่าใช้จ่ายด้านอื่นลง",economy,negative
"ธนาคารกลางคงอัตราดอกเบี้ยนโยบายไว้ที่ระดับเดิม","คณะกรรมการนโยบายการเงินมีมติคงอัตราดอกเบี้ยนโยบายไว้ที่ระดับเดิม โดยระบุว่าต้องการติดตามผลของมาตรการที่ดำเนินไปแล้วก่อนตัดสินใจปรับเปลี่ยน",economy,neutral
"การส่งออกขยายตัวร้อยละ 4.5 สูงกว่าที่คาด","มูลค่าการส่งออกของไทยขยายตัวร้อยละ 4.5 สูงกว่าที่นักวิเคราะห์คาดการณ์ไว้ โดยกลุ่มสินค้าเกษตรและอิเล็กทรอนิกส์เป็นแรงหนุนหลัก ผู้ประกอบการแสดงความเชื่อมั่นเพิ่มขึ้น",economy,positive
"เงินบาทอ่อนค่าลงแตะระดับต่ำสุดในรอบ 6 เดือน","ค่าเงินบาทอ่อนค่าลงแตะระดับต่ำสุดในรอบหกเดือนเทียบดอลลาร์ จากเงินทุนไหลออกและทิศทางดอกเบี้ยต่างประเทศ ผู้นำเข้าได้รับผลกระทบด้านต้นทุน",economy,negative
"ราคาน้ำมันดีเซลปรับลดลง 50 สตางค์ต่อลิตร","ผู้ค้าน้ำมันประกาศปรับลดราคาน้ำมันดีเซลลง 50 สตางค์ต่อลิตร มีผลตั้งแต่เวลา 05.00 น. ของวันรุ่งขึ้น ผู้ประกอบการขนส่งระบุว่าช่วยลดต้นทุนได้บางส่วน",economy,positive
"หนี้ครัวเรือนยังอยู่ในระดับสูงน่ากังวล","ธนาคารแห่งประเทศไทยรายงานว่าสัดส่วนหนี้ครัวเรือนต่อจีดีพียังอยู่ในระดับสูง ซึ่งเป็นข้อจำกัดสำคัญต่อการฟื้นตัวของการบริโภคภาคเอกชนในระยะต่อไป",economy,negative
"จีดีพีไตรมาสล่าสุดขยายตัวร้อยละ 2.8","สภาพัฒน์รายงานว่าเศรษฐกิจไทยในไตรมาสล่าสุดขยายตัวร้อยละ 2.8 โดยได้แรงหนุนจากภาคการท่องเที่ยวและการบริโภคภาคเอกชน ขณะที่การลงทุนภาครัฐยังชะลอตัว",economy,neutral
"ราคาสินค้าอุปโภคบริโภคปรับขึ้นหลายรายการ","ผู้ผลิตสินค้าอุปโภคบริโภคหลายรายปรับขึ้นราคาสินค้าตามต้นทุนวัตถุดิบและค่าขนส่ง กรมการค้าภายในระบุว่าจะติดตามการปรับราคาอย่างใกล้ชิดเพื่อไม่ให้กระทบผู้บริโภคเกินสมควร",economy,negative
