title,content,topic,sentiment
"ภาพยนตร์ไทยทำรายได้เปิดตัวสูงสุดของปี","ภาพยนตร์ไทยเรื่องใหม่ทำรายได้เปิดตัวสัปดาห์แรกสูงสุดของปี โดยได้รับคำชมจากทั้งผู้ชมและนักวิจารณ์ในด้านบทและการแสดง ผู้จัดจำหน่ายเพิ่มรอบฉายในหลายจังหวัด",entertainment,positive
"คอนเสิร์ตใหญ่ถูกเลื่อนกะทันหัน แฟนเพลงไม่พอใจ","ผู้จัดประกาศเลื่อนคอนเสิร์ตใหญ่ออกไปอย่างกะทันหันโดยอ้างเหตุด้านการผลิต ทำให้แฟนเพลงที่ซื้อบัตรและจองที่พักไว้แสดงความไม่พอใจ ผู้จัดแจ้งแนวทางคืนเงิน",entertainment,negative
"ซีรีส์ไทยติดอันดับผู้ชมสูงสุดในต่างประเทศ","ซีรีส์ไทยเรื่องหนึ่งขึ้นติดอันดับผู้ชมสูงสุดในหลายประเทศบนแพลตฟอร์มสตรีมมิง ทำให้นักแสดงนำได้รับความสนใจในระดับภูมิภาคและมีงานต่างประเทศเข้ามาต่อเนื่อง",entertainment,positive
"นักร้องปล่อยอัลบั้มใหม่หลังห่างหายไปสามปี","นักร้องชื่อดังปล่อยอัลบั้มเต็มชุดใหม่หลังห่างหายจากวงการไปสามปี โดยเปลี่ยนแนวเพลงไปทางอะคูสติก แฟนเพลงส่วนใหญ่ตอบรับดีในช่วงเปิดตัว",entertainment,positive
"ประกาศรายชื่อผู้เข้าชิงรางวัลภาพยนตร์แห่งชาติ","คณะกรรมการประกาศรายชื่อผู้เข้าชิงรางวัลภาพยนตร์แห่งชาติในทุกสาขา โดยจะจัดพิธีมอบรางวัลในเดือนหน้า ปีนี้มีภาพยนตร์ส่งเข้าประกวดมากกว่าปีก่อน",entertainment,neutral
"ละครเรื่องใหม่ถูกวิจารณ์เรื่องเนื้อหาไม่เหมาะสม","ละครเรื่องใหม่ถูกผู้ชมส่วนหนึ่งวิจารณ์ว่ามีเนื้อหาบางฉากไม่เหมาะสมกับช่วงเวลาออกอากาศ ผู้ผลิตชี้แจงว่าจะปรับการนำเสนอในตอนถัดไปและเพิ่มคำเตือน",entertainment,negative
"เทศกาลดนตรีกลางแจ้งมีผู้เข้าร่วมกว่า 40,000 คน","เทศกาลดนตรีกลางแจ้งจัดขึ้นสองวันและมีผู้เข้าร่วมรวมกว่า 40,000 คน ผู้จัดระบุว่าไม่มีเหตุร้ายและระบบขนส่งรองรับได้ดี ศิลปินหลายรายขึ้นแสดงตามกำหนด",entertainment,positive
"นักแสดงประกาศพักงานเพื่อดูแลสุขภาพ","นักแสดงชื่อดังประกาศพักงานในวงการชั่วคราวเพื่อดูแลสุขภาพตามคำแนะนำของแพทย์ แฟนคลับส่งกำลังใจจำนวนมาก ต้นสังกัดยืนยันจะปรับตารางงานให้",entertainment,neutral
"ภาพยนตร์สารคดีไทยได้รางวัลจากเทศกาลต่างประเทศ","ภาพยนตร์สารคดีของผู้กำกับไทยได้รับรางวัลจากเทศกาลภาพยนตร์ในต่างประเทศ โดยนำเสนอเรื่องราวชุมชนประมงพื้นบ้าน คณะกรรมการชื่นชมมุมมองที่ละเอียดอ่อน",entertainment,positive
"ปัญหาบัตรคอนเสิร์ตถูกขายต่อในราคาสูง","แฟนเพลงร้องเรียนปัญหาบัตรคอนเสิร์ตถูกกวาดซื้อและนำไปขายต่อในราคาสูงหลายเท่า ผู้จัดประกาศใช้ระบบยืนยันตัวตนผู้ถือบัตรเพื่อลดการเก็งกำไรในรอบถัดไป",entertainment,negative
"วงดนตรีอินดี้ไทยได้ไปแสดงในเทศกาลระดับโลก","วงดนตรีอินดี้จากไทยได้รับเชิญไปแสดงในเทศกาลดนตรีระดับโลก ซึ่งเป็นครั้งแรกของวง สมาชิกระบุว่าเป็นโอกาสสำคัญในการเผยแพร่ดนตรีไทยสู่ผู้ฟังต่างชาติ",entertainment,positive
"ผู้กำกับเปิดตัวโครงการภาพยนตร์เรื่องใหม่","ผู้กำกับชาวไทยเปิดตัวโครงการภาพยนตร์เรื่องใหม่ที่จะเริ่มถ่ายทำปลายปีนี้ โดยร่วมทุนกับผู้ผลิตต่างประเทศ และประกาศเปิดคัดเลือกนักแสดงหน้าใหม่",entertainment,neutral
"ยอดผู้ชมละครช่วงไพรม์ไทม์ลดลง","สถานีโทรทัศน์รายงานว่ายอดผู้ชมละครช่วงไพรม์ไทม์ลดลงต่อเนื่อง เนื่องจากผู้ชมย้ายไปดูผ่านแพลตฟอร์มออนไลน์ตามเวลาที่สะดวก สถานีปรับกลยุทธ์เผยแพร่ควบคู่",entertainment,negative
"เปิดพิพิธภัณฑ์ภาพยนตร์ให้เข้าชมฟรี","หน่วยงานเปิดพิพิธภัณฑ์ภาพยนตร์ที่รวบรวมประวัติศาสตร์ภาพยนตร์ไทยให้เข้าชมฟรีในช่วงเปิดตัว มีผู้สนใจเข้าชมเต็มทุกรอบในสัปดาห์แรก",entertainment,positive
"ศิลปินร่วมจัดคอนเสิร์ตการกุศลช่วยผู้ประสบภัย","กลุ่มศิลปินหลายวงร่วมกันจัดคอนเสิร์ตการกุศลเพื่อระดมทุนช่วยผู้ประสบภัยน้ำท่วม ยอดบริจาครวมเกินเป้าหมายที่ตั้งไว้ และจะส่งมอบผ่านมูลนิธิที่ทำงานในพื้นที่",entertainment,positive
"ถกเถียงเรื่องการใช้เอไอสร้างเสียงนักร้อง","วงการเพลงถกเถียงถึงการนำปัญญาประดิษฐ์มาสร้างเสียงร้องเลียนแบบศิลปิน ทั้งประเด็นสิทธิในเสียงและการให้ค่าตอบแทน หน่วยงานเริ่มศึกษาแนวทางกำกับดูแล",entertainment,neutral
"นักแสดงหน้าใหม่ได้รับคำชมจากบทบาทแรก","นักแสดงหน้าใหม่ได้รับคำชมอย่างกว้างขวางจากบทบาทแรกในภาพยนตร์ดรามา นักวิจารณ์ระบุว่าถ่ายทอดอารมณ์ได้เป็นธรรมชาติเกินวัย และคาดว่าจะมีอนาคตไกล",entertainment,positive
"เทศกาลหนังสั้นเปิดรับผลงานจากนักเรียนนักศึกษา","ผู้จัดเทศกาลหนังสั้นเปิดรับผลงานจากนักเรียนและนักศึกษาโดยไม่มีค่าสมัคร เพื่อเปิดพื้นที่ให้ผู้สร้างรุ่นใหม่ ปีนี้มีผลงานส่งเข้าประกวดมากกว่า 400 เรื่อง",entertainment,positive
"รายการวาไรตี้ถูกปรับหลังเนื้อหาไม่เหมาะสม","คณะกรรมการกำกับกิจการกระจายเสียงสั่งปรับรายการวาไรตี้รายหนึ่ง หลังพบเนื้อหาไม่เหมาะสมกับผู้ชมทุกวัยในช่วงเวลาที่ออกอากาศ ผู้ผลิตรับทราบและปรับเนื้อหา",entertainment,negative
"ยอดขายบัตรละครเวทีเพิ่มขึ้นชัดเจน","คณะละครเวทีรายงานยอดขายบัตรเพิ่มขึ้นชัดเจนในฤดูกาลนี้ โดยเฉพาะกลุ่มผู้ชมวัยรุ่นและวัยทำงาน ผู้จัดเพิ่มรอบการแสดงเพื่อรองรับความต้องการ",entertainment,positive
"ศิลปินถูกวิจารณ์เรื่องการแสดงความคิดเห็นในโซเชียล","ศิลปินรายหนึ่งถูกวิจารณ์จากการแสดงความคิดเห็นในสื่อสังคมออนไลน์ ต่อมาได้ออกมาชี้แจงและขออภัยหากทำให้เข้าใจผิด ต้นสังกัดขอให้ระมัดระวังการสื่อสาร",entertainment,negative
"งานมหกรรมหนังสือมีผู้เข้าชมล้นหลาม","งานมหกรรมหนังสือประจำปีมีผู้เข้าชมล้นหลามตลอดสิบวัน สำนักพิมพ์รายงานยอดขายเพิ่มขึ้นจากปีก่อน โดยหมวดวรรณกรรมแปลและหนังสือเด็กขายดีที่สุด",entertainment,positive
"เพลงประกอบซีรีส์ขึ้นอันดับหนึ่งชาร์ตสตรีมมิง","เพลงประกอบซีรีส์ขึ้นอันดับหนึ่งบนชาร์ตสตรีมมิงในประเทศติดต่อกันสามสัปดาห์ ทำให้ศิลปินผู้ขับร้องได้รับความนิยมเพิ่มขึ้นในกลุ่มผู้ฟังรุ่นใหม่",entertainment,positive
"โรงภาพยนตร์ปรับราคาตั๋วขึ้น ผู้ชมบ่น","เครือโรงภาพยนตร์ประกาศปรับราคาตั๋วขึ้นในบางสาขาโดยอ้างต้นทุนที่เพิ่ม ผู้ชมส่วนหนึ่งแสดงความไม่พอใจและระบุว่าจะรอชมผ่านสตรีมมิงแทน",entertainment,negative
"เปิดตัวแพลตฟอร์มสตรีมมิงเนื้อหาไทย","ผู้ประกอบการเปิดตัวแพลตฟอร์มสตรีมมิงที่เน้นเนื้อหาไทยและภูมิภาค พร้อมรองรับคำบรรยายหลายภาษา ผู้ผลิตรายย่อยมองว่าเป็นช่องทางเผยแพร่ผลงานเพิ่ม",entertainment,positive
