title,content,topic,sentiment
"บริษัทจดทะเบียนรายงานกำไรสุทธิเพิ่มขึ้นร้อยละ 18","บริษัทจดทะเบียนในตลาดหลักทรัพย์รายงานกำไรสุทธิไตรมาสล่าสุดเพิ่มขึ้นร้อยละ 18 จากยอดขายที่เติบโตและการควบคุมต้นทุนที่ดีขึ้น ผู้ถือหุ้นได้รับเงินปันผลเพิ่ม",business,positive
"ผู้ประกอบการค้าปลีกปิดสาขาที่ไม่ทำกำไร","เครือค้าปลีกประกาศปิดสาขาที่ไม่ทำกำไรจำนวน 12 แห่ง เพื่อปรับโครงสร้างธุรกิจ พนักงานที่ได้รับผลกระทบจะถูกโยกย้ายไปสาขาใกล้เคียงตามความสมัครใจ",business,negative
"สตาร์ทอัพไทยระดมทุนรอบใหม่ได้ 300 ล้านบาท","สตาร์ทอัพด้านเทคโนโลยีการเกษตรระดมทุนรอบซีรีส์เอได้ 300 ล้านบาท จากนักลงทุนในและต่างประเทศ โดยจะใช้ขยายทีมวิศวกรและขยายตลาดในภูมิภาค",business,positive
"สองบริษัทประกาศควบรวมกิจการ","บริษัทในอุตสาหกรรมโลจิสติกส์สองรายประกาศแผนควบรวมกิจการ เพื่อเพิ่มเครือข่ายคลังสินค้าและลดต้นทุนซ้ำซ้อน โดยรอการอนุมัติจากหน่วยงานกำกับการแข่งขัน",business,neutral
"โรงงานประกาศเลิกจ้างพนักงานกว่า 400 คน","โรงงานผลิตชิ้นส่วนประกาศเลิกจ้างพนักงานกว่า 400 คนหลังคำสั่งซื้อจากต่างประเทศลดลง บริษัทระบุจะจ่ายค่าชดเชยตามกฎหมายและช่วยประสานหางานใหม่",business,negative
"แบรนด์ไทยขยายสาขาไปต่างประเทศเพิ่ม 5 แห่ง","แบรนด์ร้านอาหารไทยประกาศขยายสาขาในต่างประเทศเพิ่มอีก 5 แห่งภายในปีนี้ หลังสาขาแรกได้รับการตอบรับดีเกินคาด โดยใช้รูปแบบแฟรนไชส์ร่วมกับพันธมิตรท้องถิ่น",business,positive
"ผู้บริหารระดับสูงลาออกจากตำแหน่ง","ประธานเจ้าหน้าที่บริหารของบริษัทจดทะเบียนแจ้งลาออกจากตำแหน่งโดยมีผลสิ้นเดือนนี้ คณะกรรมการแต่งตั้งผู้บริหารรักษาการและเริ่มกระบวนการสรรหาผู้ดำรงตำแหน่งใหม่",business,neutral
"ยอดขายออนไลน์ของผู้ค้ารายย่อยเติบโตสูง","แพลตฟอร์มอีคอมเมิร์ซรายงานว่ายอดขายของผู้ค้ารายย่อยเติบโตสูงกว่าค่าเฉลี่ยของตลาด โดยกลุ่มสินค้าแฟชั่นและของใช้ในบ้านขายดีที่สุดในไตรมาสนี้",business,positive
"บริษัทถูกปรับจากการโฆษณาเกินจริง","คณะกรรมการคุ้มครองผู้บริโภคสั่งปรับบริษัทรายหนึ่งจากการโฆษณาสรรพคุณสินค้าเกินความเป็นจริง พร้อมสั่งให้ระงับการโฆษณาและแก้ไขข้อความบนฉลาก",business,negative
"เปิดโรงงานผลิตแบตเตอรี่แห่งแรกในประเทศ","กลุ่มทุนร่วมลงทุนเปิดโรงงานผลิตแบตเตอรี่สำหรับยานยนต์ไฟฟ้าแห่งแรกในประเทศ สร้างงานกว่า 800 ตำแหน่ง และช่วยลดการนำเข้าชิ้นส่วนสำคัญ",business,positive
